Subject,Start Date,End Date,All Day Event,Description,Private,NON-IMPORT ROWS ->,Updated,ID
Call-Anna,2016-10-29,2016-10-30,True,Re-imported 10/28/16 - status: confirmed,False,,2016-09-19T19:53:42.674Z,bdlqjd0ic14foojf1vjb46qb8k
Call-Laurie,2016-11-07,2016-11-08,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-01T23:03:48.626Z,91voo8514h1nit194gborarmm4
Call-Char,2016-11-08,2016-11-09,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-01T23:03:53.390Z,j5l33rsfek1fqpgesnta0leq5k
Call-,2017-03-01,2017-04-10,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis
CANCELLED,2017-01-03,2017-01-04,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170103
CANCELLED,2017-01-04,2017-01-05,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170104
CANCELLED,2017-01-05,2017-01-06,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170105
CANCELLED,2017-01-06,2017-01-07,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170106
CANCELLED,2017-01-09,2017-01-10,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170109
CANCELLED,2017-01-10,2017-01-11,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170110
CANCELLED,2017-01-11,2017-01-12,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170111
CANCELLED,2017-01-12,2017-01-13,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170112
CANCELLED,2017-01-13,2017-01-14,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170113
CANCELLED,2017-01-16,2017-01-17,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170116
CANCELLED,2017-01-17,2017-01-18,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170117
CANCELLED,2017-01-18,2017-01-19,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170118
CANCELLED,2017-01-19,2017-01-20,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170119
CANCELLED,2017-01-20,2017-01-21,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170120
CANCELLED,2017-01-23,2017-01-24,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170123
CANCELLED,2017-01-24,2017-01-25,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170124
CANCELLED,2017-01-25,2017-01-26,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170125
CANCELLED,2017-01-26,2017-01-27,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170126
CANCELLED,2017-01-27,2017-01-28,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170127
CANCELLED,2017-01-28,2017-01-29,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170128
CANCELLED,2017-01-29,2017-01-30,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170129
CANCELLED,2017-01-30,2017-01-31,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170130
CANCELLED,2017-01-31,2017-02-01,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170131
CANCELLED,2017-02-01,2017-02-02,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170201
CANCELLED,2017-02-02,2017-02-03,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170202
CANCELLED,2017-02-03,2017-02-04,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170203
CANCELLED,2017-02-04,2017-02-05,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170204
CANCELLED,2017-02-05,2017-02-06,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170205
CANCELLED,2017-02-06,2017-02-07,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170206
CANCELLED,2017-02-07,2017-02-08,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170207
CANCELLED,2017-02-08,2017-02-09,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170208
CANCELLED,2017-02-09,2017-02-10,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170209
